Respondent_ID,Age_Group,Gender,City_Tier,Status,Income,Gaming_Platform,Gaming_Hours_Per_Week,Setup_Type,Price_Sensitivity,Preferred_Style,Preferred_Color,Purchase_Channel,Spending_Per_Purchase,Annual_Setup_Budget,Purchase_Likelihood,Own_Keycaps,Own_Coiled_Cable,Own_Deskmat,Own_Cable_Sleeves,Own_Streaming_Gear
74,Under 18,Male,Tier 2,Other,20000-50000,PC/Laptop,6-10,Basic PC/Laptop,Discount seeker,Cyberpunk,Black,Amazon,500-1500,5000-10000,Maybe,0,1,0,0,1
75,Under 18,Female,Tier 2,Student,Under 20000,Mobile,<2,Basic PC/Laptop,Balanced,Anime,Green,Flipkart,Under 500,2000-5000,Very likely,1,1,1,0,0
76,22-25,Male,Tier 1,Student,20000-50000,Mobile,6-10,Basic PC/Laptop,Balanced,Cyberpunk,Green,International Websites,1500-3000,5000-10000,Likely,0,0,1,0,0
77,Under 18,Male,Tier 2,Student,100000-200000,PC/Laptop,2-5,Mobile only,Balanced,Minimal,Pastel,Flipkart,7000+,10000-20000,Likely,0,1,0,1,0
78,18-21,Male,Tier 2,Student,50000-100000,Xbox,>20,Mid-range PC,Cheapest option,Anime,Pastel,Brand Website,1500-3000,10000-20000,Unlikely,1,0,1,0,0
79,31-40,Male,Tier 2,Working Professional,No income,PC/Laptop,6-10,Basic PC/Laptop,Balanced,Cyberpunk,Green,Flipkart,500-1500,2000-5000,Very likely,0,0,1,0,0
80,Under 18,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,6-10,Mobile only,Discount seeker,Minimal,RGB,Amazon,500-1500,2000-5000,Likely,0,0,1,0,0
81,22-25,Male,Tier 2,Student,Under 20000,Xbox,<2,Mid-range PC,Premium buyer,No preference,Green,Amazon,Under 500,Under 2000,Likely,0,0,1,0,0
82,Under 18,Male,Tier 2,Working Professional,No income,Multiple,<2,Basic PC/Laptop,Discount seeker,Minimal,Blue,Offline Store,Under 500,Under 2000,Maybe,1,0,1,0,1
83,22-25,Female,Tier 2,Working Professional,20000-50000,Mobile,<2,High-end PC,Balanced,Cyberpunk,White,Amazon,1500-3000,5000-10000,Unlikely,0,1,0,0,0
84,22-25,Male,Tier 2,Working Professional,Under 20000,Multiple,>20,Basic PC/Laptop,Balanced,No preference,Blue,Flipkart,500-1500,2000-5000,Very likely,0,0,0,1,0
85,22-25,Male,Tier 1,Student,Above 200000,PC/Laptop,10-20,Basic PC/Laptop,Balanced,Minimal,Black,Brand Website,3000-7000,Above 20000,Likely,1,1,0,0,0
86,31-40,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,6-10,Mobile only,Balanced,No preference,RGB,Amazon,500-1500,2000-5000,Very unlikely,0,1,0,0,0
87,18-21,Male,Tier 1,Working Professional,No income,PlayStation,>20,Mid-range PC,Discount seeker,RGB,RGB,Amazon,Under 500,2000-5000,Unlikely,0,1,0,0,0
88,Under 18,Male,Tier 1,Freelancer/Creator,Under 20000,PC/Laptop,6-10,Basic PC/Laptop,Balanced,No preference,Green,Amazon,500-1500,2000-5000,Very likely,0,0,0,1,0
89,22-25,Female,Tier 1,Student,Under 20000,PC/Laptop,6-10,Mobile only,Premium buyer,No preference,RGB,Amazon,Under 500,2000-5000,Likely,1,0,0,0,0
90,Above 40,Prefer not to say,Tier 1,Other,20000-50000,Multiple,2-5,Basic PC/Laptop,Balanced,Minimal,Purple,Flipkart,1500-3000,2000-5000,Very likely,0,0,1,0,0
91,Above 40,Male,Tier 2,Student,50000-100000,PC/Laptop,6-10,Console,Cheapest option,RGB,Purple,Flipkart,1500-3000,10000-20000,Likely,0,1,0,0,1
92,22-25,Male,Tier 1,Working Professional,Under 20000,Mobile,<2,Basic PC/Laptop,Cheapest option,No preference,White,Amazon,Under 500,Under 2000,Very unlikely,0,1,1,0,0
93,26-30,Male,Tier 1,Working Professional,50000-100000,Mobile,10-20,Basic PC/Laptop,Discount seeker,Minimal,Blue,Amazon,1500-3000,10000-20000,Maybe,0,0,0,0,0
94,18-21,Male,Tier 1,Student,Under 20000,PC/Laptop,6-10,Basic PC/Laptop,Discount seeker,No preference,RGB,Flipkart,500-1500,Under 2000,Likely,1,0,0,0,0
95,18-21,Male,Tier 2,Working Professional,20000-50000,Mobile,10-20,Basic PC/Laptop,Cheapest option,Cyberpunk,Pastel,Amazon,500-1500,5000-10000,Very likely,0,0,1,0,1
96,Under 18,Female,Tier 1,Student,20000-50000,PC/Laptop,2-5,Mid-range PC,Discount seeker,Anime,Purple,Flipkart,1500-3000,5000-10000,Likely,0,0,0,0,0
97,18-21,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,6-10,Mid-range PC,Cheapest option,No preference,Blue,Flipkart,1500-3000,2000-5000,Unlikely,0,0,1,1,0
98,26-30,Female,Tier 1,Student,20000-50000,PlayStation,10-20,Mobile only,Balanced,Cyberpunk,Black,Amazon,1500-3000,5000-10000,Unlikely,0,1,0,0,0
99,22-25,Male,Tier 2,Student,20000-50000,Multiple,2-5,High-end PC,Premium buyer,Cyberpunk,Red,Flipkart,1500-3000,2000-5000,Maybe,0,0,0,0,0
100,Above 40,Male,Tier 2,Student,Under 20000,Mobile,6-10,Mobile only,Premium buyer,No preference,Black,Amazon,500-1500,Under 2000,Maybe,0,0,0,0,1
101,18-21,Male,Tier 1,Student,No income,Xbox,<2,Console,Balanced,Cyberpunk,Red,Flipkart,500-1500,Under 2000,Unlikely,0,0,0,0,0
102,Above 40,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,6-10,Mobile only,Balanced,Cyberpunk,Green,Flipkart,500-1500,5000-10000,Very likely,0,0,0,0,0
103,22-25,Female,Tier 3,Student,Under 20000,PC/Laptop,>20,Mobile only,Balanced,Cyberpunk,Purple,Offline Store,500-1500,2000-5000,Maybe,0,0,1,0,0
104,26-30,Male,Tier 1,Student,Under 20000,PlayStation,<2,Mobile only,Discount seeker,Cyberpunk,Black,Amazon,Under 500,2000-5000,Likely,0,0,0,1,0
105,Above 40,Female,Tier 1,Business Owner,No income,Mobile,2-5,Mobile only,Cheapest option,RGB,Black,Offline Store,Under 500,Under 2000,Unlikely,0,0,0,0,0
106,18-21,Prefer not to say,Tier 2,Freelancer/Creator,No income,Multiple,>20,Basic PC/Laptop,Discount seeker,RGB,Red,Brand Website,Under 500,Under 2000,Very likely,0,0,0,0,0
107,Under 18,Male,Tier 3,Working Professional,100000-200000,PlayStation,2-5,Basic PC/Laptop,Balanced,RGB,Blue,Amazon,7000+,Above 20000,Maybe,0,0,1,0,0
108,26-30,Male,Tier 1,Other,No income,Mobile,>20,Mid-range PC,Premium buyer,Minimal,White,Amazon,Under 500,2000-5000,Likely,0,0,0,0,1
109,26-30,Male,Tier 1,Working Professional,20000-50000,PlayStation,<2,Mobile only,Balanced,RGB,Purple,Amazon,1500-3000,5000-10000,Likely,0,1,1,0,0
110,18-21,Male,Tier 1,Student,50000-100000,PC/Laptop,6-10,Mid-range PC,Premium buyer,Minimal,White,Amazon,1500-3000,5000-10000,Very unlikely,1,1,0,0,0
111,18-21,Female,Tier 1,Working Professional,No income,PC/Laptop,6-10,Basic PC/Laptop,Balanced,Anime,White,Amazon,Under 500,2000-5000,Likely,1,1,1,0,0
112,22-25,Male,Tier 1,Freelancer/Creator,No income,Multiple,2-5,Basic PC/Laptop,Discount seeker,Anime,White,Offline Store,500-1500,Under 2000,Maybe,0,0,0,0,0
113,22-25,Male,Tier 1,Student,20000-50000,PC/Laptop,<2,High-end PC,Cheapest option,Cyberpunk,White,Brand Website,1500-3000,5000-10000,Likely,0,0,1,0,0
114,Under 18,Male,Tier 2,Working Professional,Under 20000,PC/Laptop,<2,Mobile only,Balanced,Cyberpunk,Red,Brand Website,500-1500,Under 2000,Maybe,0,0,0,0,0
115,22-25,Male,Tier 1,Other,50000-100000,PC/Laptop,>20,Basic PC/Laptop,Discount seeker,Anime,RGB,Brand Website,3000-7000,10000-20000,Unlikely,0,0,0,1,0
116,18-21,Male,Tier 1,Working Professional,100000-200000,PC/Laptop,<2,Mid-range PC,Cheapest option,No preference,Purple,Flipkart,7000+,10000-20000,Likely,1,1,1,1,0
117,22-25,Male,Tier 3,Working Professional,50000-100000,Mobile,<2,Basic PC/Laptop,Cheapest option,RGB,Purple,International Websites,3000-7000,5000-10000,Very likely,0,0,1,0,0
118,22-25,Female,Tier 2,Working Professional,20000-50000,Xbox,2-5,Basic PC/Laptop,Discount seeker,No preference,Pastel,Offline Store,1500-3000,2000-5000,Maybe,1,0,0,0,0
119,22-25,Prefer not to say,Tier 1,Student,50000-100000,PC/Laptop,6-10,Console,Discount seeker,Anime,Red,Amazon,3000-7000,5000-10000,Likely,1,0,0,0,0
120,22-25,Male,Tier 3,Student,Under 20000,PC/Laptop,2-5,Mobile only,Cheapest option,Anime,Green,Amazon,500-1500,2000-5000,Likely,0,1,0,0,0
121,22-25,Male,Tier 2,Student,50000-100000,PC/Laptop,6-10,Basic PC/Laptop,Discount seeker,No preference,Blue,Amazon,1500-3000,5000-10000,Maybe,0,0,1,0,0
122,18-21,Female,Tier 2,Student,No income,PC/Laptop,10-20,Basic PC/Laptop,Discount seeker,Cyberpunk,Blue,Flipkart,500-1500,2000-5000,Likely,0,0,0,0,0
123,22-25,Female,Tier 3,Business Owner,20000-50000,PlayStation,6-10,Console,Premium buyer,RGB,White,Flipkart,1500-3000,2000-5000,Unlikely,0,0,0,0,0
124,18-21,Male,Tier 1,Freelancer/Creator,Under 20000,Xbox,2-5,Mobile only,Balanced,Minimal,Purple,Flipkart,500-1500,2000-5000,Unlikely,1,0,1,0,0
125,Under 18,Male,Tier 2,Working Professional,Under 20000,Mobile,10-20,Mid-range PC,Discount seeker,Anime,Pastel,Amazon,500-1500,2000-5000,Maybe,0,1,0,0,0
126,18-21,Male,Tier 3,Student,Under 20000,Mobile,2-5,Console,Premium buyer,Anime,Purple,Flipkart,500-1500,Under 2000,Very likely,0,1,0,0,0
127,18-21,Female,Tier 1,Working Professional,100000-200000,Mobile,>20,High-end PC,Balanced,Minimal,Green,Amazon,3000-7000,10000-20000,Maybe,1,0,1,0,0
128,18-21,Prefer not to say,Tier 2,Student,No income,PC/Laptop,2-5,Mid-range PC,Cheapest option,Cyberpunk,Purple,Flipkart,500-1500,Under 2000,Maybe,0,1,1,0,0
129,22-25,Male,Tier 2,Working Professional,No income,Multiple,10-20,Basic PC/Laptop,Balanced,Anime,Blue,Flipkart,500-1500,Under 2000,Maybe,0,0,0,0,0
130,Under 18,Female,Tier 1,Student,No income,PC/Laptop,10-20,Basic PC/Laptop,Balanced,No preference,Red,Offline Store,500-1500,Under 2000,Unlikely,1,0,0,1,0
131,Under 18,Male,Tier 2,Business Owner,20000-50000,Xbox,<2,Basic PC/Laptop,Discount seeker,No preference,Purple,Amazon,500-1500,5000-10000,Unlikely,1,0,0,0,0
132,22-25,Male,Tier 2,Student,100000-200000,Xbox,<2,Basic PC/Laptop,Discount seeker,RGB,Purple,Amazon,7000+,Above 20000,Unlikely,1,0,1,0,0
133,18-21,Female,Tier 2,Student,Under 20000,Mobile,<2,Mobile only,Discount seeker,Minimal,Black,Flipkart,500-1500,2000-5000,Very unlikely,0,1,1,0,0
134,31-40,Male,Tier 1,Student,20000-50000,Xbox,6-10,Mobile only,Premium buyer,RGB,Pastel,Brand Website,1500-3000,2000-5000,Very likely,1,1,0,0,0
135,18-21,Female,Tier 2,Student,20000-50000,Mobile,2-5,Mid-range PC,Discount seeker,RGB,Red,Offline Store,500-1500,5000-10000,Very likely,0,0,0,0,0
136,22-25,Male,Tier 1,Freelancer/Creator,20000-50000,Multiple,6-10,High-end PC,Discount seeker,Minimal,White,Amazon,1500-3000,2000-5000,Maybe,0,0,1,0,0
137,18-21,Male,Tier 2,Working Professional,Under 20000,PC/Laptop,<2,Mid-range PC,Discount seeker,Cyberpunk,RGB,International Websites,500-1500,2000-5000,Unlikely,1,0,1,0,1
138,22-25,Male,Tier 1,Student,20000-50000,Multiple,6-10,Mid-range PC,Cheapest option,Cyberpunk,Purple,Amazon,500-1500,2000-5000,Likely,0,0,1,0,0
139,18-21,Female,Tier 2,Freelancer/Creator,No income,Multiple,6-10,Mid-range PC,Discount seeker,Minimal,Blue,Amazon,500-1500,Under 2000,Unlikely,0,0,0,0,0
140,Under 18,Male,Tier 1,Working Professional,Under 20000,PC/Laptop,6-10,High-end PC,Cheapest option,Minimal,White,Offline Store,Under 500,Under 2000,Maybe,0,1,0,0,0
141,26-30,Male,Tier 2,Other,50000-100000,Xbox,<2,Console,Discount seeker,No preference,RGB,Amazon,3000-7000,5000-10000,Very likely,1,0,1,1,0
142,22-25,Male,Tier 1,Student,50000-100000,Mobile,10-20,Basic PC/Laptop,Discount seeker,Anime,RGB,Flipkart,1500-3000,5000-10000,Maybe,0,0,0,0,0
143,18-21,Male,Tier 3,Working Professional,20000-50000,Xbox,6-10,High-end PC,Balanced,No preference,Blue,Amazon,1500-3000,2000-5000,Likely,0,0,0,1,0
144,18-21,Male,Tier 2,Student,Under 20000,Xbox,<2,High-end PC,Balanced,Minimal,Purple,Amazon,Under 500,Under 2000,Very likely,0,1,0,0,0
145,31-40,Male,Tier 1,Working Professional,No income,PC/Laptop,6-10,Mobile only,Balanced,Anime,Purple,Brand Website,500-1500,Under 2000,Very unlikely,0,0,0,0,0
146,31-40,Male,Tier 2,Student,50000-100000,Multiple,10-20,High-end PC,Discount seeker,Anime,Pastel,Amazon,3000-7000,10000-20000,Likely,0,0,1,0,0
147,18-21,Male,Tier 1,Student,50000-100000,PC/Laptop,<2,Mid-range PC,Cheapest option,No preference,Black,Flipkart,3000-7000,10000-20000,Maybe,0,0,0,0,1
148,22-25,Female,Tier 2,Student,100000-200000,PC/Laptop,6-10,High-end PC,Premium buyer,RGB,White,Flipkart,3000-7000,10000-20000,Likely,0,0,0,0,0
149,18-21,Female,Tier 2,Freelancer/Creator,20000-50000,PlayStation,6-10,Mid-range PC,Balanced,Anime,Black,Brand Website,500-1500,5000-10000,Likely,1,1,1,1,0
150,18-21,Male,Tier 1,Working Professional,20000-50000,Mobile,2-5,Mid-range PC,Balanced,Cyberpunk,Purple,Amazon,500-1500,5000-10000,Unlikely,0,0,0,0,0
151,18-21,Male,Tier 1,Student,20000-50000,Mobile,2-5,Mid-range PC,Cheapest option,Cyberpunk,White,Flipkart,1500-3000,5000-10000,Maybe,0,0,0,0,1
